zone_id,center_lat,center_lon
AAL,-23.538360,-46.488467
ANH,-23.435420,-46.793239
API,-23.548000,-46.712045
ARA,-23.565815,-46.571896
ARI,-23.574649,-46.516348
BEL,-23.538332,-46.595206
BFU,-23.521548,-46.672442
BRE,-23.526016,-46.636431
BRL,-23.447518,-46.689143
BRS,-23.544288,-46.616574
BUT,-23.569949,-46.726303
BVI,-23.560933,-46.646615
CAC,-23.455836,-46.661322
CAD,-23.673324,-46.657528
CAR,-23.552555,-46.536814
CBE,-23.626979,-46.669352
CDU,-23.724180,-46.704985
CGR,-23.675407,-46.687776
CLD,-23.561791,-46.491686
CLM,-23.634803,-46.763949
CMB,-23.565402,-46.617243
CNG,-23.495976,-46.518034
CON,-23.548271,-46.659958
CRE,-23.666976,-46.780051
CTI,-23.586520,-46.399839
CUR,-23.631399,-46.620488
CVE,-23.500590,-46.659878
ERM,-23.491461,-46.485552
FRE,-23.488238,-46.695332
GRA,-23.788499,-46.668046
GUA,-23.556747,-46.406177
IBI,-23.601862,-46.685221
IGU,-23.612763,-46.428343
IPA,-23.503681,-46.386686
IPI,-23.594129,-46.601812
ITQ,-23.533872,-46.455217
JAB,-23.649609,-46.646353
JAC,-23.463378,-46.576951
JAG,-23.510082,-46.743135
JAR,-23.446241,-46.738775
JBO,-23.567680,-46.431999
JDA,-23.713380,-46.769034
JDH,-23.484661,-46.416504
JDP,-23.567132,-46.664843
JDS,-23.679620,-46.739253
JRE,-23.544529,-46.746288
LAJ,-23.534214,-46.407878
LAP,-23.523225,-46.706057
LIB,-23.566247,-46.632587
LIM,-23.498096,-46.674863
MAN,-23.458939,-46.640179
MAR,-23.936395,-46.706312
MOE,-23.595942,-46.662430
MOO,-23.562722,-46.595047
MOR,-23.597034,-46.709485
PDR,-23.706230,-46.651882
PEN,-23.522066,-46.531674
PIN,-23.565917,-46.687814
PIR,-23.482731,-46.725096
PLH,-23.829415,-46.717471
PQC,-23.575367,-46.462571
PRA,-23.516213,-46.493087
PRD,-23.538530,-46.680895
PRI,-23.526588,-46.617727
PRS,-23.408288,-46.749563
REP,-23.544645,-46.640505
RPE,-23.569687,-46.757329
RTA,-23.590970,-46.785732
SAC,-23.632366,-46.598089
SAM,-23.643341,-46.700100
SAP,-23.603502,-46.511640
SAU,-23.613968,-46.641499
SCE,-23.531948,-46.651767
SDO,-23.492609,-46.745690
SEE,-23.546839,-46.630907
SLU,-23.594549,-46.543615
SMI,-23.499279,-46.442289
SMT,-23.600807,-46.482363
SOC,-23.682468,-46.714123
SRA,-23.627255,-46.457646
STN,-23.500605,-46.632580
TAT,-23.538924,-46.565886
TRE,-23.416170,-46.588840
TUC,-23.476599,-46.606517
VAN,-23.627002,-46.729418
VCR,-23.509047,-46.417388
VFO,-23.568552,-46.546564
VGL,-23.508855,-46.605007
VJA,-23.501283,-46.462792
VLE,-23.529351,-46.733857
VMD,-23.491128,-46.579421
VMN,-23.586110,-46.637288
VMR,-23.513492,-46.577064
VMT,-23.541075,-46.519306
VPR,-23.590729,-46.574036
VSO,-23.599564,-46.741512
